episode_id,episode_number,title,date_published,youtube_id,youtube_url,priority,transcript_status,analysis_status,notes_status,timestamp_status,caption_provenance
optimize-your-learning-and-creativity-with-science-based-tools,8,Optimize Your Learning & Creativity with Science-Based Tools,2021-02-22T09:00:00.000Z,uuP-1ioh4LY,https://www.youtube.com/watch?v=uuP-1ioh4LY,high,downloaded,analyzed,available,available,
control-pain-and-heal-faster-with-your-brain,9,Control Pain & Heal Faster with Your Brain,2021-03-01T09:00:00.000Z,mcPSRWUYCv0,https://www.youtube.com/watch?v=mcPSRWUYCv0,high,downloaded,analyzed,available,available,
tools-for-managing-stress-and-anxiety,10,Tools for Managing Stress & Anxiety,2021-03-08T09:00:00.000Z,ntfcfJ28eiU,https://www.youtube.com/watch?v=ntfcfJ28eiU,high,downloaded,analyzed,available,available,
how-foods-and-nutrients-control-our-moods,11,How Foods and Nutrients Control Our Moods,2021-03-15T08:00:00.000Z,XfURDjegrAw,https://www.youtube.com/watch?v=XfURDjegrAw,high,downloaded,analyzed,available,available,
how-to-increase-motivation-and-drive,12,How to Increase Motivation & Drive,2021-03-22T08:00:00.000Z,vA50EK70whE,https://www.youtube.com/watch?v=vA50EK70whE,high,downloaded,analyzed,available,available,
the-science-of-emotions-relationships,13,The Science of Emotions & Relationships,2021-03-29T08:00:00.000Z,hcuMLQVAgEg,https://www.youtube.com/watch?v=hcuMLQVAgEg,high,downloaded,analyzed,available,available,
biological-influences-on-sex-sex-differences-and-preferences,14,How Hormones Shape Sexual Development,2021-04-05T08:00:00.000Z,J7SrAEacyf8,https://www.youtube.com/watch?v=J7SrAEacyf8,high,downloaded,analyzed,available,available,
the-science-of-how-to-optimize-testosterone-and-estrogen,15,The Science of How to Optimize Testosterone & Estrogen,2021-04-12T08:00:00.000Z,qJXKhu5UZwk,https://www.youtube.com/watch?v=qJXKhu5UZwk,high,downloaded,analyzed,available,available,
how-our-hormones-control-our-hunger-eating-and-satiety,16,"How Our Hormones Control Our Hunger, Eating & Satiety",2021-04-19T08:00:00.000Z,17O5mgXZ9ZU,https://www.youtube.com/watch?v=17O5mgXZ9ZU,high,downloaded,analyzed,available,available,
how-to-control-your-metabolism-by-thyroid-and-growth-hormone,17,How to Control Your Metabolism by Thyroid & Growth Hormone,2021-04-26T08:00:00.000Z,x7qbJeRxWGw,https://www.youtube.com/watch?v=x7qbJeRxWGw,high,downloaded,analyzed,available,available,
using-cortisol-and-adrenaline-to-boost-our-energy-and-immune-system,18,Using Cortisol & Adrenaline to Boost Our Energy & Immune System,2021-05-03T08:00:00.000Z,JPX8g8ibKFc,https://www.youtube.com/watch?v=JPX8g8ibKFc,high,downloaded,analyzed,available,available,
supercharge-exercise-performance-and-recovery-with-cooling,19,Supercharge Exercise Performance & Recovery with Cooling,2021-05-10T08:00:00.000Z,xaE9XyMMAHY,https://www.youtube.com/watch?v=xaE9XyMMAHY,high,downloaded,analyzed,available,available,
how-to-learn-skills-faster,20,How to Learn Skills Faster,2021-05-17T08:00:00.000Z,xJ0IBzCjEPk,https://www.youtube.com/watch?v=xJ0IBzCjEPk,high,downloaded,analyzed,available,available,
how-to-lose-fat-with-science-based-tools,21,How to Lose Fat with Science-Based Tools,2021-05-24T08:00:00.000Z,GqPGXG5TlZw,https://www.youtube.com/watch?v=GqPGXG5TlZw,high,downloaded,analyzed,available,available,
science-of-muscle-growth-increasing-strength-and-muscular-recovery,22,"Science of Muscle Growth, Increasing Strength & Muscular Recovery",2021-05-31T08:00:00.000Z,XLr2RKoD-oY,https://www.youtube.com/watch?v=XLr2RKoD-oY,high,downloaded,analyzed,available,available,
how-to-build-endurance-in-your-brain-and-body,23,How to Build Endurance in Your Brain & Body,2021-06-07T08:00:00.000Z,VQLU7gpk_X8,https://www.youtube.com/watch?v=VQLU7gpk_X8,high,downloaded,analyzed,available,available,
how-smell-taste-and-pheromone-like-chemicals-control-you,25,"How Smell, Taste & Pheromone-Like Chemicals Control You",2021-06-21T08:00:00.000Z,Mwz8JprPeMc,https://www.youtube.com/watch?v=Mwz8JprPeMc,high,downloaded,analyzed,available,available,
karl-deisseroth-understanding-and-healing-the-mind,26,Dr. Karl Deisseroth: Understanding & Healing the Mind,2021-06-28T08:00:00.000Z,w9MXqXBZy9U,https://www.youtube.com/watch?v=w9MXqXBZy9U,high,downloaded,analyzed,available,available,
the-science-of-hearing-balance-and-accelerated-learning,27,"The Science of Hearing, Balance & Accelerated Learning",2021-07-05T08:00:00.000Z,JVRyzYB9JSY,https://www.youtube.com/watch?v=JVRyzYB9JSY,high,downloaded,analyzed,available,available,
maximizing-productivity-physical-and-mental-health-with-daily-tools,28,"Maximizing Productivity, Physical & Mental Health with Daily Tools",2021-07-12T08:00:00.000Z,aXvDEmo6uS4,https://www.youtube.com/watch?v=aXvDEmo6uS4,high,downloaded,analyzed,available,available,
dr-lex-fridman-machines-creativity-and-love,29,"Dr. Lex Fridman: Machines, Creativity & Love",2021-07-19T08:00:00.000Z,VRvn3Oj5r3E,https://www.youtube.com/watch?v=VRvn3Oj5r3E,high,downloaded,analyzed,available,available,
how-to-optimize-your-brain-body-function-and-health,30,How to Optimize Your Brain-Body Function & Health,2021-07-26T08:00:00.000Z,rW9QKc-iFoY,https://www.youtube.com/watch?v=rW9QKc-iFoY,high,downloaded,analyzed,available,available,
dr-matthew-walker-the-science-and-practice-of-perfecting-your-sleep,31,Dr. Matt Walker: The Science & Practice of Perfecting Your Sleep,2021-08-02T08:00:00.000Z,gbQFSMayJxk,https://www.youtube.com/watch?v=gbQFSMayJxk,high,downloaded,analyzed,available,available,
how-to-control-your-sense-of-pain-and-pleasure,32,How to Control Your Sense of Pain & Pleasure,2021-08-09T08:00:00.000Z,xmhsWAqP_0Y,https://www.youtube.com/watch?v=xmhsWAqP_0Y,high,downloaded,analyzed,available,available,
dr-anna-lembke-understanding-and-treating-addiction,33,Dr. Anna Lembke: Understanding & Treating Addiction,2021-08-16T08:00:00.000Z,p3JLaF_4Tz8,https://www.youtube.com/watch?v=p3JLaF_4Tz8,high,downloaded,analyzed,available,available,
understanding-and-conquering-depression,34,Understanding & Conquering Depression,2021-08-23T08:00:00.000Z,Xu1FMCxoEFc,https://www.youtube.com/watch?v=Xu1FMCxoEFc,high,downloaded,analyzed,available,available,
dr-robert-sapolsky-science-of-stress-testosterone-and-free-will,35,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will",2021-08-30T08:00:00.000Z,DtmwtjOoSYU,https://www.youtube.com/watch?v=DtmwtjOoSYU,high,downloaded,analyzed,available,available,
healthy-eating-and-eating-disorders-anorexia-bulimia-binging,36,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging",2021-09-06T08:00:00.000Z,2XGREPnlI8U,https://www.youtube.com/watch?v=2XGREPnlI8U,high,downloaded,analyzed,available,available,
adhd-and-how-anyone-can-improve-their-focus,37,ADHD & How Anyone Can Improve Their Focus,2021-09-13T08:00:00.000Z,hFL6qRIJZ_Y,https://www.youtube.com/watch?v=hFL6qRIJZ_Y,high,downloaded,analyzed,available,available,
dr-matthew-johnson-psychedelic-medicine,38,Dr. Matthew Johnson: Psychedelic Medicine,2021-09-20T08:00:00.000Z,GzvzWO0NU50,https://www.youtube.com/watch?v=GzvzWO0NU50,high,downloaded,analyzed,available,available,
controlling-your-dopamine-for-motivation-focus-and-satisfaction,39,"Controlling Your Dopamine For Motivation, Focus & Satisfaction",2021-09-27T08:00:00.000Z,QmOF0crdyRU,https://www.youtube.com/watch?v=QmOF0crdyRU,high,downloaded,analyzed,available,available,
dr-craig-heller-using-temperature-for-performance-brain-and-body-health,40,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health",2021-10-04T08:00:00.000Z,77CdVSpnUX4,https://www.youtube.com/watch?v=77CdVSpnUX4,high,downloaded,analyzed,available,available,
effects-of-fasting-and-time-restricted-eating-on-fat-loss-and-health,41,Effects of Fasting & Time Restricted Eating on Fat Loss & Health,2021-10-11T08:00:00.000Z,9tRohh0gErM,https://www.youtube.com/watch?v=9tRohh0gErM,high,downloaded,analyzed,available,available,
nutrients-for-brain-health-and-performance,42,Nutrients For Brain Health & Performance,2021-10-18T08:00:00.000Z,E7W4OQfJWdw,https://www.youtube.com/watch?v=E7W4OQfJWdw,high,downloaded,analyzed,available,available,
dr-samer-hattar-timing-light-food-exercise-for-better-sleep-energy-mood,43,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood",2021-10-25T08:00:00.000Z,oUu3f0ETMJQ,https://www.youtube.com/watch?v=oUu3f0ETMJQ,high,downloaded,analyzed,available,available,
using-your-nervous-system-to-enhance-your-immune-system,44,Using Your Nervous System to Enhance Your Immune System,2021-11-01T08:00:00.000Z,poOf8b2WE2g,https://www.youtube.com/watch?v=poOf8b2WE2g,high,downloaded,analyzed,available,available,
dr-duncan-french-how-to-exercise-for-strength-gains-and-hormone-optimization,45,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization,2021-11-08T09:00:00.000Z,iMvtHqLmEkI,https://www.youtube.com/watch?v=iMvtHqLmEkI,high,downloaded,analyzed,available,available,
time-perception-and-entrainment-by-dopamine-serotonin-and-hormones,46,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones",2021-11-15T09:00:00.000Z,8IWDAqodDas,https://www.youtube.com/watch?v=8IWDAqodDas,high,downloaded,analyzed,available,available,
the-science-of-gratitude-and-how-to-build-a-gratitude-practice,47,The Science of Gratitude & How to Build a Gratitude Practice,2021-11-22T09:00:00.000Z,KVjfFN89qvQ,https://www.youtube.com/watch?v=KVjfFN89qvQ,high,downloaded,analyzed,available,available,
dr-david-buss-how-humans-select-and-keep-romantic-partners-in-short-and-long-term,48,Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term,2021-11-29T09:00:00.000Z,HXzTbCEqCJc,https://www.youtube.com/watch?v=HXzTbCEqCJc,high,downloaded,analyzed,available,available,
dr-david-berson-your-brains-logic-and-function,50,Dr. David Berson: Your Brain's Logic & Function,2021-12-13T09:00:00.000Z,oC3fhUjg30E,https://www.youtube.com/watch?v=oC3fhUjg30E,high,downloaded,analyzed,available,available,
science-of-social-bonding-in-family-friendship-and-romantic-love,51,"Science of Social Bonding in Family, Friendship & Romantic Love",2021-12-20T09:00:00.000Z,RgAcOqVRfYA,https://www.youtube.com/watch?v=RgAcOqVRfYA,high,downloaded,analyzed,available,available,
dr-david-sinclair-the-biology-of-slowing-and-reversing-aging,52,Dr. David Sinclair: The Biology of Slowing & Reversing Aging,2021-12-27T09:00:00.000Z,n9IxomBusuw,https://www.youtube.com/watch?v=n9IxomBusuw,high,downloaded,analyzed,available,available,
the-science-of-making-and-breaking-habits,53,The Science of Making & Breaking Habits,2022-01-03T09:00:00.000Z,Wcs2PFz5q6g,https://www.youtube.com/watch?v=Wcs2PFz5q6g,high,downloaded,analyzed,available,available,
dr-jack-feldman-breathing-for-mental-physical-health-and-performance,54,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance,2022-01-10T09:00:00.000Z,GLgKkG44MGo,https://www.youtube.com/watch?v=GLgKkG44MGo,high,downloaded,analyzed,available,available,
the-science-of-setting-and-achieving-goals,55,The Science of Setting & Achieving Goals,2022-01-17T09:00:00.000Z,t1F7EEGPQwo,https://www.youtube.com/watch?v=t1F7EEGPQwo,high,downloaded,analyzed,available,available,
dr-alia-crum-science-of-mindsets-for-health-performance,56,Dr. Alia Crum: Science of Mindsets for Health & Performance,2022-01-24T09:00:00.000Z,dFR_wFN23ZY,https://www.youtube.com/watch?v=dFR_wFN23ZY,high,downloaded,analyzed,available,available,
optimizing-workspace-for-productivity-focus-and-creativity,57,"Optimizing Workspace for Productivity, Focus, & Creativity",2022-01-31T09:00:00.000Z,Ze2pc6NwsHQ,https://www.youtube.com/watch?v=Ze2pc6NwsHQ,high,downloaded,analyzed,available,available,
using-play-to-rewire-and-improve-your-brain,58,Using Play to Rewire & Improve Your Brain,2022-02-07T09:00:00.000Z,BwyZIWeBpRw,https://www.youtube.com/watch?v=BwyZIWeBpRw,high,downloaded,analyzed,available,available,
the-science-of-love-desire-and-attachment,59,"The Science of Love, Desire and Attachment",2022-02-14T09:00:00.000Z,gMRph_BvHB4,https://www.youtube.com/watch?v=gMRph_BvHB4,high,downloaded,analyzed,available,available,
dr-david-spiegel-using-hypnosis-to-enhance-mental-and-physical-health-and-performance,60,Dr. David Spiegel: Using Hypnosis to Enhance Mental & Physical Health & Performance,2022-02-21T09:00:00.000Z,PctD-ki8dCc,https://www.youtube.com/watch?v=PctD-ki8dCc,high,downloaded,analyzed,available,available,
how-to-enhance-your-gut-microbiome-for-brain-and-overall-health,61,How to Enhance Your Gut Microbiome for Brain & Overall Health,2022-02-28T09:00:00.000Z,15R2pMqU2ok,https://www.youtube.com/watch?v=15R2pMqU2ok,high,downloaded,analyzed,available,available,
dr-justin-sonnenburg-how-to-build-maintain-and-repair-gut-health,62,"Dr. Justin Sonnenburg: How to Build, Maintain & Repair Gut Health",2022-03-07T09:00:00.000Z,ouCWNRvPk20,https://www.youtube.com/watch?v=ouCWNRvPk20,high,downloaded,analyzed,available,available,
using-salt-to-optimize-mental-and-physical-performance,63,Using Salt to Optimize Mental & Physical Performance,2022-03-14T08:00:00.000Z,azb3Ih68awQ,https://www.youtube.com/watch?v=azb3Ih68awQ,high,downloaded,analyzed,available,available,
controlling-sugar-cravings-and-metabolism-with-science-based-tools,64,Controlling Sugar Cravings & Metabolism with Science-Based Tools,2022-03-21T08:00:00.000Z,VAEzZeaV5zM,https://www.youtube.com/watch?v=VAEzZeaV5zM,high,downloaded,analyzed,available,available,
dr-andy-galpin-how-to-build-strength-muscle-size-and-endurance,65,"Dr. Andy Galpin: How to Build Strength, Muscle Size & Endurance",2022-03-28T08:00:00.000Z,IAnhFUUCq6c,https://www.youtube.com/watch?v=IAnhFUUCq6c,high,downloaded,analyzed,available,available,
using-deliberate-cold-exposure-for-health-and-performance,66,Using Deliberate Cold Exposure for Health and Performance,2022-04-04T08:00:00.000Z,pq6WHJzOkno,https://www.youtube.com/watch?v=pq6WHJzOkno,high,downloaded,analyzed,available,available,
how-to-optimize-your-hormones-for-health-and-vitality,67,Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality,2022-04-11T08:00:00.000Z,ncSoor2Iw8k,https://www.youtube.com/watch?v=ncSoor2Iw8k,high,downloaded,analyzed,available,available,
using-light-sunlight-blue-light-and-red-light-to-optimize-health,68,"Using Light (Sunlight, Blue Light & Red Light) to Optimize Health",2022-04-18T08:00:00.000Z,UF0nqolsNZc,https://www.youtube.com/watch?v=UF0nqolsNZc,high,downloaded,analyzed,available,available,
the-science-and-health-benefits-of-deliberate-heat-exposure,69,The Science & Health Benefits of Deliberate Heat Exposure,2022-04-25T08:00:00.000Z,EQ3GjpGq5Y8,https://www.youtube.com/watch?v=EQ3GjpGq5Y8,high,downloaded,analyzed,available,available,
dr-rhonda-patrick-micronutrients-for-health-and-longevity,70,Dr. Rhonda Patrick: Micronutrients for Health & Longevity,2022-05-02T08:00:00.000Z,XcvhERcZpWw,https://www.youtube.com/watch?v=XcvhERcZpWw,high,downloaded,analyzed,available,available,
understanding-and-controlling-aggression,71,Understanding & Controlling Aggression,2022-05-09T08:00:00.000Z,RBK5KLA5Jjg,https://www.youtube.com/watch?v=RBK5KLA5Jjg,high,downloaded,analyzed,available,available,
understand-and-improve-memory-using-science-based-tools,72,Understand & Improve Memory Using Science-Based Tools,2022-05-16T08:00:00.000Z,szqPAPKE5tQ,https://www.youtube.com/watch?v=szqPAPKE5tQ,high,downloaded,analyzed,available,available,
dr-wendy-suzuki-boost-attention-and-memory-with-science-based-tools,73,Dr. Wendy Suzuki: Boost Attention & Memory with Science-Based Tools,2022-05-23T08:00:00.000Z,099hgtRoUZw,https://www.youtube.com/watch?v=099hgtRoUZw,high,downloaded,analyzed,available,available,
the-science-and-process-of-healing-from-grief,74,The Science & Process of Healing from Grief,2022-05-30T08:00:00.000Z,dzOvi0Aa2EA,https://www.youtube.com/watch?v=dzOvi0Aa2EA,high,downloaded,analyzed,available,available,
dr-paul-conti-therapy-treating-trauma-and-other-life-challenges,75,"Dr. Paul Conti: Therapy, Treating Trauma & Other Life Challenges",2022-06-06T08:00:00.000Z,IOl28gj_RXw,https://www.youtube.com/watch?v=IOl28gj_RXw,high,downloaded,analyzed,available,available,
improve-flexibility-with-research-supported-stretching-protocols,76,Improve Flexibility with Research-Supported Stretching Protocols,2022-06-13T08:00:00.000Z,tkH2-_jMCSk,https://www.youtube.com/watch?v=tkH2-_jMCSk,high,downloaded,analyzed,available,available,
ido-portal-the-science-and-practice-of-movement,77,Ido Portal: The Science & Practice of Movement,2022-06-20T08:00:00.000Z,a9yFKPmPZ90,https://www.youtube.com/watch?v=a9yFKPmPZ90,high,downloaded,analyzed,available,available,
the-science-and-treatment-of-obsessive-compulsive-disorder,78,The Science & Treatment of Obsessive Compulsive Disorder (OCD),2022-06-27T08:00:00.000Z,OadokY8fcAA,https://www.youtube.com/watch?v=OadokY8fcAA,high,downloaded,analyzed,available,available,
jeff-cavaliere-optimize-your-exercise-program-with-science-based-tools,79,Jeff Cavaliere: Optimize Your Exercise Program with Science-Based Tools,2022-07-04T08:00:00.000Z,UNCwdFxPtE8,https://www.youtube.com/watch?v=UNCwdFxPtE8,high,downloaded,analyzed,available,available,
optimize-and-control-your-brain-chemistry-to-improve-health-and-performance,80,Optimize & Control Your Brain Chemistry to Improve Health & Performance,2022-07-11T08:00:00.000Z,T65RDBiB5Hs,https://www.youtube.com/watch?v=T65RDBiB5Hs,high,downloaded,analyzed,available,available,
dr-charles-zuker-the-biology-of-taste-perception-and-sugar-craving,,Dr. Charles Zuker: The Biology of Taste Perception & Sugar Craving,2022-07-18T08:00:00.000Z,UChhXiFPRgg,https://www.youtube.com/watch?v=UChhXiFPRgg,high,downloaded,analyzed,available,available,
the-science-and-treatment-of-bipolar-disorder,,The Science & Treatment of Bipolar Disorder,2022-07-25T08:00:00.000Z,m_OazsImOiI,https://www.youtube.com/watch?v=m_OazsImOiI,high,downloaded,analyzed,available,available,
dr-emily-balcetis-tools-for-setting-and-achieving-goals,,Dr. Emily Balcetis: Tools for Setting & Achieving Goals,2022-08-01T08:00:00.000Z,7YGZZcXqKxE,https://www.youtube.com/watch?v=7YGZZcXqKxE,high,downloaded,analyzed,available,available,
sleep-toolkit-tools-for-optimizing-sleep-and-sleep-wake-timing,,Sleep Toolkit: Tools for Optimizing Sleep & Sleep-Wake Timing,2022-08-08T08:00:00.000Z,h2aWYjSA1Jc,https://www.youtube.com/watch?v=h2aWYjSA1Jc,high,downloaded,analyzed,available,available,
dr-peter-attia-exercise-nutrition-hormones-for-vitality-and-longevity,85,"Dr. Peter Attia: Exercise, Nutrition, Hormones for Vitality & Longevity",2022-08-15T08:00:00.000Z,DTCmprPCDqc,https://www.youtube.com/watch?v=DTCmprPCDqc,high,downloaded,analyzed,available,available,
what-alcohol-does-to-your-body-brain-health,,"What Alcohol Does to Your Body, Brain & Health",2022-08-22T08:00:00.000Z,DkS1pkKpILY,https://www.youtube.com/watch?v=DkS1pkKpILY,high,downloaded,analyzed,available,available,
dr-erich-jarvis-the-neuroscience-of-speech-language-and-music,,"Dr. Erich Jarvis: The Neuroscience of Speech, Language & Music",2022-08-29T08:00:00.000Z,LVxL_p_kToc,https://www.youtube.com/watch?v=LVxL_p_kToc,high,downloaded,analyzed,available,available,
focus-toolkit-tools-to-improve-your-focus-and-concentration,,Focus Toolkit: Tools to Improve Your Focus & Concentration,2022-09-05T08:00:00.000Z,yb5zpo5WDG4,https://www.youtube.com/watch?v=yb5zpo5WDG4,high,downloaded,analyzed,available,available,
dr-david-anderson-the-biology-of-aggression-mating-and-arousal,,"Dr. David Anderson: The Biology of Aggression, Mating & Arousal",2022-09-12T08:00:00.000Z,uxZFl4BDOGk,https://www.youtube.com/watch?v=uxZFl4BDOGk,high,downloaded,analyzed,available,available,
nicotines-effects-on-the-brain-and-body-and-how-to-quit-smoking-or-vaping,,Nicotine's Effects on the Brain & Body & How to Quit Smoking or Vaping,2022-09-19T08:00:00.000Z,uXs-zPc63kM,https://www.youtube.com/watch?v=uXs-zPc63kM,high,downloaded,analyzed,available,available,
dr-casey-halpern-biology-and-treatments-for-compulsive-eating-and-behaviors,,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors,2022-09-26T08:00:00.000Z,Nr5xb-QCBGA,https://www.youtube.com/watch?v=Nr5xb-QCBGA,high,downloaded,analyzed,available,available,
the-effects-of-cannabis-marijuana-on-the-brain-and-body,,The Effects of Cannabis (Marijuana) on the Brain & Body,2022-10-03T08:00:00.000Z,gXvuJu1kt48,https://www.youtube.com/watch?v=gXvuJu1kt48,high,downloaded,analyzed,available,available,
dr-nolan-williams-psychedelics-and-neurostimulation-for-brain-rewiring,,Dr. Nolan Williams: Psychedelics & Neurostimulation for Brain Rewiring,2022-10-10T08:00:00.000Z,X4QE6t-MkYE,https://www.youtube.com/watch?v=X4QE6t-MkYE,high,downloaded,analyzed,available,available,
fitness-toolkit-protocol-and-tools-to-optimize-physical-health,,Fitness Toolkit: Protocol & Tools to Optimize Physical Health,2022-10-17T08:00:00.000Z,q1Ss8sTbFBY,https://www.youtube.com/watch?v=q1Ss8sTbFBY,high,downloaded,analyzed,available,available,
dr-eddie-chang-the-science-of-learning-and-speaking-languages,,Dr. Eddie Chang: The Science of Learning & Speaking Languages,2022-10-24T08:00:00.000Z,Z7MU6zrAXsM,https://www.youtube.com/watch?v=Z7MU6zrAXsM,high,downloaded,analyzed,available,available,
how-meditation-works-and-science-based-effective-meditations,,How Meditation Works & Science-Based Effective Meditations,2022-10-31T08:00:00.000Z,wTBSGgbIvsY,https://www.youtube.com/watch?v=wTBSGgbIvsY,high,downloaded,analyzed,available,available,
ama-1-leveraging-ultradian-cycles-how-to-protect-your-brain-seed-oils-examined-and-more,,"AMA #1: Leveraging Ultradian Cycles, How to Protect Your Brain, Seed Oils Examined and More",2022-11-02T08:00:00.000Z,lsODSDmY4CY,https://www.youtube.com/watch?v=lsODSDmY4CY,high,downloaded,analyzed,available,available,
dr-layne-norton-the-science-of-eating-for-health-fat-loss-and-lean-muscle,97,"Dr. Layne Norton: The Science of Eating for Health, Fat Loss & Lean Muscle",2022-11-07T09:00:00.000Z,K4Ze-Sp6aUE,https://www.youtube.com/watch?v=K4Ze-Sp6aUE,high,downloaded,analyzed,available,available,
science-based-tools-for-increasing-happiness,98,Science-Based Tools for Increasing Happiness,2022-11-14T09:00:00.000Z,LTGGyQS1fZE,https://www.youtube.com/watch?v=LTGGyQS1fZE,high,downloaded,analyzed,available,available,
dr-chris-palmer-diet-nutrition-for-mental-health,99,Dr. Chris Palmer: Diet & Nutrition for Mental Health,2022-11-21T09:00:00.000Z,xjEFo3a1AnI,https://www.youtube.com/watch?v=xjEFo3a1AnI,high,downloaded,analyzed,available,available,
dr-lex-fridman-navigating-conflict-finding-purpose-and-maintaining-drive,100,"Dr. Lex Fridman: Navigating Conflict, Finding Purpose & Maintaining Drive",2022-11-28T09:00:00.000Z,6I5I56uVvLw,https://www.youtube.com/watch?v=6I5I56uVvLw,high,downloaded,analyzed,available,available,
using-caffeine-to-optimize-mental-and-physical-performance,101,Using Caffeine to Optimize Mental & Physical Performance,2022-12-05T09:00:00.000Z,iw97uvIge7c,https://www.youtube.com/watch?v=iw97uvIge7c,high,downloaded,analyzed,available,available,
ama-2-improve-sleep-reduce-sugar-cravings-optimal-protein-intake-stretching-frequency-more,,"AMA #2: Improve Sleep, Reduce Sugar Cravings, Optimal Protein Intake, Stretching Frequency & More",2022-12-08T09:00:00.000Z,vZ4kOr38JhY,https://www.youtube.com/watch?v=vZ4kOr38JhY,high,downloaded,analyzed,available,available,
